transaction_id,customer_id,transaction_date,transaction_time,amount,merchant_category,location,payment_method,is_fraud,fraud_reason
TXN0000076,CUST00450,2023-05-21,08:21:07,1783.41,Online Shopping,Mumbai,Credit Card,No,None
TXN0000077,CUST00665,2023-10-16,12:37:41,738.38,Healthcare,International,Net Banking,No,None
TXN0000078,CUST00115,2023-10-30,11:01:10,464.61,Healthcare,Unknown,Credit Card,No,None
TXN0000079,CUST00470,2023-08-17,17:02:56,742.57,Food & Beverage,Chennai,Credit Card,No,None
TXN0000080,CUST00066,2023-07-25,09:21:06,61.25,Fuel,Pune,Wallet,No,None
TXN0000081,CUST00647,2023-08-23,20:20:28,7525.27,Electronics,Bangalore,UPI,Yes,Amount Spike
TXN0000082,CUST00822,2023-05-25,07:29:28,1021.0,Online Shopping,Kolkata,Debit Card,No,None
TXN0000083,CUST00549,2023-04-03,12:40:17,3918.53,Retail,Unknown,Net Banking,No,None
TXN0000084,CUST00136,2023-09-10,12:45:13,357.12,Entertainment,International,UPI,No,None
TXN0000085,CUST00433,2023-04-18,04:00:43,252.1,Travel,Pune,Debit Card,No,None
TXN0000086,CUST01162,2023-03-23,13:39:08,364.27,Healthcare,Chennai,Net Banking,No,None
TXN0000087,CUST00645,2023-08-15,22:19:27,1995.17,Electronics,Chennai,Net Banking,No,None
TXN0000088,CUST00436,2023-05-30,03:35:58,986.83,Entertainment,Pune,Debit Card,No,None
TXN0000089,CUST01023,2023-02-03,21:03:12,352.23,Food & Beverage,Kolkata,UPI,No,None
TXN0000090,CUST00811,2023-12-11,13:14:44,1231.42,Retail,Unknown,Net Banking,No,None
TXN0000091,CUST00940,2023-02-11,07:23:54,747.32,Retail,Hyderabad,Net Banking,No,None
TXN0000092,CUST00293,2023-02-20,16:12:43,2126.8,Fuel,International,Credit Card,No,None
TXN0000093,CUST00543,2023-09-02,11:54:42,286.44,Healthcare,Mumbai,UPI,No,None
TXN0000094,CUST00286,2023-10-16,09:24:59,448.9,Travel,Hyderabad,Wallet,No,None
TXN0000095,CUST00506,2023-08-22,17:30:35,415.49,Online Shopping,International,Wallet,Yes,Location Anomaly
TXN0000096,CUST01150,2023-02-16,17:47:01,114.87,Online Shopping,Chennai,Debit Card,No,None
TXN0000097,CUST01104,2023-01-16,22:30:38,948.94,Healthcare,Hyderabad,Wallet,No,None
TXN0000098,CUST00539,2023-08-16,19:08:56,909.84,Entertainment,Mumbai,Debit Card,No,None
TXN0000099,CUST01198,2023-12-21,06:06:15,669.24,Online Shopping,Hyderabad,UPI,No,None
TXN0000100,CUST00878,2023-12-10,07:51:46,501.95,Travel,Mumbai,UPI,No,None
TXN0000101,CUST01196,2023-09-12,03:01:55,121.7,Entertainment,Unknown,Debit Card,No,None
TXN0000102,CUST00818,2023-11-14,10:48:19,401.51,Healthcare,Bangalore,Wallet,No,None
TXN0000103,CUST00742,2023-03-15,22:58:11,440.87,Entertainment,International,Wallet,No,None
TXN0000104,CUST00450,2023-03-16,22:12:52,253.98,Travel,Chennai,Net Banking,No,None
TXN0000105,CUST00284,2023-10-01,15:54:27,548.1,Retail,Kolkata,Debit Card,No,None
TXN0000106,CUST01044,2023-06-23,02:52:32,1080.16,Travel,Ahmedabad,Debit Card,No,None
TXN0000107,CUST01011,2023-12-26,10:17:28,54049.85,Fuel,Bangalore,Wallet,Yes,Amount Spike
TXN0000108,CUST00187,2023-02-08,07:22:02,820.16,Healthcare,Mumbai,Credit Card,No,None
TXN0000109,CUST00097,2023-01-30,01:55:42,906.02,Food & Beverage,Mumbai,Wallet,No,None
TXN0000110,CUST00225,2023-08-01,06:29:08,608.3,Online Shopping,Ahmedabad,Debit Card,No,None
TXN0000111,CUST00314,2023-08-29,09:35:41,639.14,Entertainment,Pune,Wallet,Yes,Amount Spike
TXN0000112,CUST00328,2023-05-14,04:02:26,644.31,Travel,Chennai,Wallet,No,None
TXN0000113,CUST00865,2023-04-28,01:57:49,715.0,Retail,Bangalore,Debit Card,No,None
TXN0000114,CUST00131,2023-10-09,16:45:29,12783.24,Travel,Unknown,UPI,No,None
TXN0000115,CUST00789,2023-07-04,03:51:01,528.04,Electronics,Pune,Debit Card,No,None
TXN0000116,CUST00782,2023-10-23,12:55:20,955.14,Online Shopping,Unknown,Debit Card,No,None
TXN0000117,CUST00959,2023-03-20,10:46:05,638.0,Fuel,Mumbai,UPI,No,None
TXN0000118,CUST01084,2023-07-27,05:07:00,1713.57,Electronics,Ahmedabad,Wallet,Yes,Amount Spike
TXN0000119,CUST00515,2023-10-07,22:03:30,2621.2,Travel,Ahmedabad,UPI,No,None
TXN0000120,CUST01134,2023-03-01,16:19:48,1639.78,Healthcare,Pune,Wallet,No,None
TXN0000121,CUST00024,2023-01-18,00:20:56,7161.16,Retail,Ahmedabad,Credit Card,Yes,Amount Spike
TXN0000122,CUST00235,2023-02-19,15:28:48,223.35,Retail,Bangalore,UPI,No,None
TXN0000123,CUST01100,2023-03-16,10:50:10,3580.84,Entertainment,Unknown,Credit Card,No,None
TXN0000124,CUST00547,2023-06-12,10:01:24,123.69,Entertainment,Hyderabad,Net Banking,No,None
TXN0000125,CUST00697,2023-08-02,18:59:29,1345.11,Entertainment,Chennai,Debit Card,No,None
TXN0000126,CUST00229,2023-10-04,08:37:18,9214.62,Entertainment,Hyderabad,Debit Card,No,None
TXN0000127,CUST00602,2023-04-09,01:42:29,202.62,Retail,Mumbai,Net Banking,No,None
TXN0000128,CUST00891,2023-12-13,06:11:23,337.12,Food & Beverage,Pune,UPI,No,None
TXN0000129,CUST00324,2023-12-07,14:56:04,749.63,Online Shopping,International,Debit Card,No,None
TXN0000130,CUST00930,2023-10-22,21:42:10,5108.39,Electronics,Mumbai,Credit Card,Yes,Amount Spike
TXN0000131,CUST00007,2023-11-28,10:37:17,103.46,Electronics,Delhi,Wallet,No,None
TXN0000132,CUST00540,2023-11-25,14:06:43,722.18,Travel,Kolkata,Wallet,No,None
TXN0000133,CUST01026,2023-12-19,04:07:37,185.9,Entertainment,Bangalore,Wallet,No,None
TXN0000134,CUST00366,2023-08-06,14:48:13,1174.16,Fuel,Hyderabad,Net Banking,Yes,High Frequency
TXN0000135,CUST01040,2023-05-15,21:26:20,220.67,Healthcare,International,Wallet,No,None
TXN0000136,CUST00218,2023-12-14,13:11:38,4272.36,Electronics,Hyderabad,Debit Card,No,None
TXN0000137,CUST00612,2023-05-23,01:39:45,259.85,Healthcare,Delhi,Credit Card,Yes,Off-Hours Transaction
TXN0000138,CUST01040,2023-06-24,01:41:26,451.93,Retail,Hyderabad,Credit Card,Yes,Off-Hours Transaction
TXN0000139,CUST00408,2023-09-02,14:45:50,1765.56,Online Shopping,Mumbai,UPI,No,None
TXN0000140,CUST00314,2023-10-06,13:57:42,151.86,Fuel,Bangalore,Wallet,No,None
TXN0000141,CUST00766,2023-02-15,14:31:01,873.89,Online Shopping,Mumbai,Wallet,No,None
TXN0000142,CUST00331,2023-12-20,17:43:46,3192.54,Retail,Chennai,Debit Card,No,None
TXN0000143,CUST01105,2023-06-19,08:59:12,96.64,Fuel,Hyderabad,Credit Card,No,None
TXN0000144,CUST01087,2023-01-27,07:05:20,830.11,Entertainment,Mumbai,Debit Card,No,None
TXN0000145,CUST00002,2023-07-07,12:12:51,908.56,Retail,Bangalore,Net Banking,No,None
TXN0000146,CUST00664,2023-06-12,17:24:06,1699.67,Healthcare,International,Debit Card,No,None
TXN0000147,CUST01001,2023-07-23,09:49:21,150.76,Food & Beverage,Delhi,Net Banking,No,None
TXN0000148,CUST00040,2023-12-28,16:38:47,136.38,Online Shopping,Chennai,UPI,Yes,High Frequency
TXN0000149,CUST00230,2023-07-15,16:24:12,1244.3,Healthcare,Pune,Credit Card,No,None
TXN0000150,CUST00744,2023-11-04,03:35:02,949.92,Online Shopping,Hyderabad,Net Banking,No,None
TXN0000151,CUST00630,2023-01-09,11:53:19,898.38,Electronics,Pune,Credit Card,No,None
TXN0000152,CUST00491,2023-03-06,19:56:53,1008.01,Entertainment,Delhi,UPI,No,None
TXN0000153,CUST00119,2023-08-21,16:31:00,294.11,Electronics,Bangalore,Credit Card,No,None
TXN0000154,CUST00494,2023-04-17,11:15:01,878.93,Online Shopping,Ahmedabad,UPI,No,None
TXN0000155,CUST01162,2023-09-28,13:46:21,945.47,Fuel,Unknown,UPI,No,None
TXN0000156,CUST00162,2023-02-20,01:45:15,282.25,Fuel,Chennai,Net Banking,No,None
TXN0000157,CUST00176,2023-04-23,11:47:34,92265.75,Retail,Pune,Credit Card,Yes,Amount Spike
TXN0000158,CUST00996,2023-01-18,15:34:48,1174.5,Electronics,Pune,Wallet,No,None
TXN0000159,CUST00142,2023-08-08,21:07:52,2312.58,Fuel,Ahmedabad,Wallet,Yes,Amount Spike
TXN0000160,CUST01091,2023-01-24,14:38:07,1462.44,Healthcare,Unknown,Net Banking,No,None
TXN0000161,CUST00258,2023-11-05,12:15:17,206.52,Fuel,Hyderabad,Wallet,No,None
TXN0000162,CUST00263,2023-09-27,10:42:56,1710.43,Retail,Pune,Net Banking,No,None
TXN0000163,CUST00974,2023-03-15,20:42:28,2671.28,Electronics,Delhi,Wallet,No,None
TXN0000164,CUST01126,2023-10-15,15:57:57,248.43,Retail,Delhi,Wallet,No,None
TXN0000165,CUST00339,2023-11-13,08:00:09,18876.13,Electronics,Delhi,Wallet,Yes,Amount Spike
TXN0000166,CUST00543,2023-06-04,08:54:39,1091.53,Online Shopping,Bangalore,UPI,No,None
TXN0000167,CUST01081,2023-07-12,05:58:32,1783.75,Electronics,Pune,Debit Card,Yes,High Frequency
TXN0000168,CUST00867,2023-09-23,21:48:47,6477.9,Healthcare,Hyderabad,Net Banking,No,None
TXN0000169,CUST00434,2023-07-26,18:58:43,495.48,Retail,Unknown,UPI,No,None
TXN0000170,CUST01105,2023-12-04,23:22:16,269.22,Healthcare,Mumbai,UPI,No,None
TXN0000171,CUST00412,2023-07-19,10:03:07,228.74,Retail,Chennai,Wallet,No,None
TXN0000172,CUST00639,2023-01-30,02:54:56,249.89,Food & Beverage,Bangalore,UPI,No,None
TXN0000173,CUST00818,2023-03-06,06:44:29,606.36,Fuel,Kolkata,UPI,No,None
TXN0000174,CUST00765,2023-06-20,00:04:42,1001.63,Healthcare,Hyderabad,Debit Card,No,None
TXN0000175,CUST00898,2023-10-19,13:17:24,927.07,Retail,Bangalore,Credit Card,No,None
TXN0000176,CUST01060,2023-07-17,18:49:06,1794.75,Fuel,Ahmedabad,Debit Card,No,None
TXN0000177,CUST00925,2023-05-30,04:32:29,675.6,Retail,Chennai,Wallet,No,None
TXN0000178,CUST00248,2023-08-07,10:52:00,3805.65,Online Shopping,Bangalore,Credit Card,No,None
TXN0000179,CUST00508,2023-10-30,16:16:30,484.16,Electronics,International,Net Banking,No,None
TXN0000180,CUST00461,2023-06-01,13:21:53,17399.61,Fuel,Kolkata,Wallet,No,None
TXN0000181,CUST00132,2023-06-05,16:10:59,1409.23,Food & Beverage,Kolkata,Net Banking,No,None
TXN0000182,CUST00693,2023-08-24,19:41:07,237.8,Electronics,Bangalore,Credit Card,No,None
TXN0000183,CUST00044,2023-04-16,10:30:33,184.0,Healthcare,Hyderabad,Wallet,No,None
TXN0000184,CUST01135,2023-03-22,08:40:37,1186.74,Entertainment,Delhi,Net Banking,No,None
TXN0000185,CUST00472,2023-03-13,11:37:21,508.69,Travel,Mumbai,Wallet,No,None
TXN0000186,CUST00452,2023-01-02,09:33:34,1566.82,Electronics,International,Net Banking,No,None
TXN0000187,CUST00015,2023-03-04,03:20:11,1173.66,Retail,Hyderabad,Net Banking,Yes,High Frequency
TXN0000188,CUST00146,2023-08-11,02:28:31,609.48,Healthcare,Ahmedabad,Net Banking,No,None
TXN0000189,CUST00121,2023-03-26,14:06:54,240.77,Food & Beverage,Pune,Debit Card,No,None
TXN0000190,CUST00469,2023-08-18,22:53:27,108.01,Entertainment,International,Debit Card,No,None
TXN0000191,CUST00139,2023-09-28,13:55:02,2869.36,Electronics,Pune,Net Banking,Yes,Amount Spike
TXN0000192,CUST00065,2023-01-04,10:35:36,1858.79,Online Shopping,International,Wallet,No,None
TXN0000193,CUST00677,2023-12-08,10:19:07,859.98,Retail,Hyderabad,Net Banking,No,None
TXN0000194,CUST00146,2023-12-27,15:26:01,149.17,Food & Beverage,Hyderabad,Net Banking,No,None
TXN0000195,CUST01053,2023-11-04,01:21:46,818.78,Travel,Chennai,Credit Card,No,None
TXN0000196,CUST00488,2023-07-19,03:36:07,1056.15,Fuel,Hyderabad,Debit Card,No,None
TXN0000197,CUST00571,2023-06-26,21:01:03,230.3,Travel,Delhi,Debit Card,No,None
TXN0000198,CUST00995,2023-07-15,15:55:18,11647.08,Fuel,Chennai,Credit Card,Yes,Amount Spike
TXN0000199,CUST00439,2023-10-02,20:44:44,713.26,Fuel,Kolkata,Net Banking,No,None
TXN0000200,CUST01105,2023-10-07,20:17:04,168.75,Healthcare,Mumbai,Wallet,No,None
TXN0000201,CUST00271,2023-07-23,22:02:13,6202.74,Travel,Unknown,Credit Card,Yes,Amount Spike
TXN0000202,CUST01170,2023-04-11,12:30:48,5892.11,Healthcare,Delhi,Net Banking,Yes,Amount Spike
TXN0000203,CUST01181,2023-04-28,19:59:15,2439.78,Electronics,Unknown,Net Banking,No,None
TXN0000204,CUST00969,2023-11-28,01:38:37,2355.63,Travel,Pune,Credit Card,No,None
TXN0000205,CUST00498,2023-03-27,13:41:00,769.58,Entertainment,Hyderabad,Wallet,Yes,Amount Spike
TXN0000206,CUST00969,2023-04-26,02:18:35,215.86,Food & Beverage,Delhi,UPI,No,None
TXN0000207,CUST00834,2023-10-03,01:24:44,1234.03,Fuel,Delhi,Debit Card,No,None
TXN0000208,CUST00390,2023-04-15,06:44:16,18253.97,Fuel,Ahmedabad,Net Banking,Yes,Amount Spike
TXN0000209,CUST00194,2023-08-03,10:25:10,1234.05,Food & Beverage,Chennai,Credit Card,No,None
TXN0000210,CUST00199,2023-02-16,06:07:26,67729.55,Food & Beverage,Hyderabad,Credit Card,No,None
TXN0000211,CUST00883,2023-03-08,10:51:08,1319.58,Travel,Hyderabad,Credit Card,No,None
TXN0000212,CUST00726,2023-03-28,23:10:25,2598.47,Food & Beverage,Hyderabad,Wallet,No,None
TXN0000213,CUST00868,2023-01-18,17:08:20,2089.76,Retail,Pune,UPI,No,None
TXN0000214,CUST00842,2023-07-27,05:11:37,1453.41,Electronics,Ahmedabad,UPI,No,None
TXN0000215,CUST00957,2023-04-03,12:20:28,455.63,Food & Beverage,Mumbai,Net Banking,No,None
TXN0000216,CUST00111,2023-04-24,08:10:36,1653.69,Fuel,Unknown,Net Banking,Yes,Location Anomaly
TXN0000217,CUST00202,2023-01-16,04:21:05,263.12,Travel,Bangalore,Credit Card,No,None
TXN0000218,CUST00125,2023-09-06,09:38:49,500.61,Food & Beverage,Ahmedabad,Debit Card,No,None
TXN0000219,CUST00825,2023-02-27,12:45:35,371.51,Online Shopping,Bangalore,UPI,No,None
TXN0000220,CUST00695,2023-12-10,03:46:19,733.81,Entertainment,International,Debit Card,No,None
TXN0000221,CUST00224,2023-04-18,20:52:41,10695.63,Food & Beverage,Delhi,UPI,No,None
TXN0000222,CUST00510,2023-12-27,02:34:38,70.76,Online Shopping,Kolkata,Net Banking,No,None
TXN0000223,CUST00393,2023-02-21,15:22:59,1515.52,Food & Beverage,Ahmedabad,Wallet,No,None
TXN0000224,CUST00390,2023-04-16,00:38:07,96.04,Online Shopping,Pune,Credit Card,No,None
TXN0000225,CUST01099,2023-12-06,04:31:05,377.54,Fuel,Pune,Net Banking,No,None
TXN0000226,CUST00919,2023-11-04,01:07:29,2457.11,Food & Beverage,Ahmedabad,Credit Card,No,None
TXN0000227,CUST00288,2023-01-21,00:12:03,718.48,Entertainment,Unknown,Net Banking,Yes,Location Anomaly
TXN0000228,CUST00865,2023-09-07,11:43:27,182.49,Food & Beverage,Kolkata,Credit Card,No,None
TXN0000229,CUST00376,2023-04-07,16:55:24,1997.76,Entertainment,Delhi,UPI,Yes,Amount Spike
TXN0000230,CUST00571,2023-11-16,18:44:23,1503.45,Travel,Bangalore,Debit Card,No,None
TXN0000231,CUST00948,2023-03-23,13:05:04,276.87,Healthcare,Delhi,UPI,No,None
TXN0000232,CUST00512,2023-07-27,14:47:09,862.43,Electronics,Hyderabad,Debit Card,No,None
TXN0000233,CUST00155,2023-02-15,02:55:16,702.53,Fuel,Ahmedabad,Debit Card,No,None
TXN0000234,CUST00908,2023-01-01,13:02:54,304.32,Retail,Hyderabad,Debit Card,No,None
TXN0000235,CUST01128,2023-09-09,21:48:51,8714.41,Food & Beverage,Kolkata,Net Banking,No,None
TXN0000236,CUST00201,2023-05-15,22:34:46,1423.26,Food & Beverage,Bangalore,Debit Card,No,None
TXN0000237,CUST00104,2023-09-03,17:01:54,58.55,Travel,Kolkata,UPI,No,None
TXN0000238,CUST01108,2023-08-24,00:29:44,831.93,Travel,Chennai,UPI,No,None
TXN0000239,CUST00031,2023-05-24,08:21:21,300.62,Entertainment,Delhi,Wallet,No,None
TXN0000240,CUST00192,2023-05-07,01:08:09,1849.96,Travel,Bangalore,UPI,No,None
TXN0000241,CUST00485,2023-02-02,07:54:37,256.97,Electronics,Kolkata,Credit Card,No,None
TXN0000242,CUST00341,2023-10-01,23:22:47,2989.02,Online Shopping,Mumbai,Debit Card,Yes,Amount Spike
TXN0000243,CUST00833,2023-12-10,07:21:01,1219.24,Entertainment,International,Debit Card,No,None
TXN0000244,CUST00995,2023-08-02,07:36:53,1879.77,Retail,Unknown,Debit Card,Yes,Location Anomaly
TXN0000245,CUST00986,2023-04-13,13:00:51,157.53,Entertainment,International,Wallet,No,None
TXN0000246,CUST00438,2023-10-08,10:16:10,445.23,Healthcare,Delhi,Credit Card,No,None
TXN0000247,CUST00822,2023-02-21,21:21:01,376.18,Healthcare,International,Debit Card,No,None
TXN0000248,CUST00121,2023-06-08,14:01:53,303.69,Food & Beverage,Ahmedabad,Wallet,No,None
TXN0000249,CUST00338,2023-12-15,21:05:46,5533.33,Healthcare,Kolkata,Credit Card,No,None
TXN0000250,CUST00777,2023-08-26,11:25:32,1081.36,Electronics,Bangalore,UPI,No,None
TXN0000251,CUST00005,2023-04-25,12:37:25,146.49,Travel,Mumbai,Credit Card,No,None
TXN0000252,CUST00800,2023-05-07,01:49:07,2001.06,Electronics,Unknown,Wallet,No,None
TXN0000253,CUST00544,2023-01-23,05:44:01,8489.52,Online Shopping,Unknown,Wallet,Yes,High Frequency
TXN0000254,CUST00932,2023-09-01,02:19:34,2296.08,Food & Beverage,Mumbai,Wallet,No,None
TXN0000255,CUST00585,2023-11-13,20:56:44,107.42,Electronics,Kolkata,Debit Card,No,None
TXN0000256,CUST00867,2023-01-05,01:00:40,372.01,Online Shopping,Unknown,Net Banking,No,None
TXN0000257,CUST01139,2023-11-16,23:36:03,3042.07,Online Shopping,Pune,Net Banking,No,None
TXN0000258,CUST00997,2023-05-19,01:20:35,284.52,Healthcare,Delhi,UPI,No,None
TXN0000259,CUST00318,2023-03-27,03:50:02,1132.95,Entertainment,Unknown,Net Banking,No,None
TXN0000260,CUST00389,2023-10-11,16:32:09,1685.07,Entertainment,Kolkata,Debit Card,No,None
TXN0000261,CUST00608,2023-04-19,14:53:52,218.7,Electronics,Pune,Credit Card,No,None
TXN0000262,CUST00446,2023-03-10,15:17:30,7102.41,Retail,Mumbai,Credit Card,Yes,Amount Spike
TXN0000263,CUST00120,2023-04-10,09:58:25,50.0,Retail,Pune,Debit Card,No,None
TXN0000264,CUST01187,2023-01-07,01:45:40,194.56,Online Shopping,Unknown,UPI,No,None
TXN0000265,CUST01111,2023-07-28,16:49:32,491.23,Electronics,Unknown,Net Banking,Yes,High Frequency
TXN0000266,CUST00125,2023-09-13,06:38:38,148.81,Retail,Hyderabad,Wallet,No,None
TXN0000267,CUST00643,2023-12-04,02:10:40,4716.84,Entertainment,Delhi,UPI,No,None
